,context,question,answer
10,"“那孩子是你女儿吗？”贵妃垂询，“我看着你自小在这儿跑来跑去，长大了，就跑不见了，一回来就带来孩子，还要我养活。你这号人是养不起的，养大了就走了，然后又把孩子来顶替！”
跪坐在走廊上的几个宫女吃吃地笑了。
“身在福中不知福！”贵妃数落着，“嫌在宫里不好，要到外面去找丈夫，结果做了人家的小老婆。是丈夫把你撵回来的，还是自个儿要回来的，蔡姆？”
“自个儿要回来的呀！”妈妈禀道，“但他也不反对。”",“自个儿要回来的呀！”,"{'蔡姆', '妈妈'}"
11,"帕洛伊慈爱地抚摩着儿子的头，回说：
“满意了，傲德，满意极了，从今以后，妈的儿子将有工作做了，再没有人i归丈起你，叫儿心里难受了。”
“也别太肯定了。”傲德把母亲的手贴在自己的面颊上，接着说道：
“人们要想瞧不起谁，是能找到种种借口的。等着瞧吧。但这一次，傲德至少不欠谁的恩，领谁的情了。除了还欠最尊贵的妈妈的恩情外。”",“人们要想瞧不起谁，是能找到种种借口的。等着瞧吧。但这一次，傲德至少不欠谁的恩，领谁的情了。除了还欠最尊贵的妈妈的恩情外。”,{'傲德'}
12,"“举起盘子递上来！”帕洛伊就照着做。贵妃把盘上的鲜花、水灯、香、烛拿下放在身边，然后伸手轻轻摸了摸帕洛伊的头发，说：
“还不懂事哩！不知道容不容易跟人合得来！不要怕人怕得要命，一会儿把我看作是妖魔鬼怪！住在一块儿，就甭怕呀，帕洛伊！”",“举起盘子递上来！”,{'贵妃'}
13,"一天下午，傲德从部里回来，告诉帕洛伊说：“妈妈，儿已辞职了，明天不再去上班，从此结束了吧。“帕洛伊暗暗感谢帕姆预先的劝告。因而当傲德报告这一消息时，她没有表现出一丝诧异的样子让傲德发觉。她当时低头坐着，继续不停地进行每晚的例行佛事：把鲜花扎成束，用来供佛。她头也不抬地回答傲德：
“如果工作不合意，辞了出来也好，傲德。妈妈不愿让儿子勉强去做自己不喜欢的事儿。”
“是否早已有人告诉妈妈说儿要辞职？”傲德颇为疑惑。“没有，怎么啦？”
“儿以为妈妈至少也会奇怪，为什么儿不说一声就平白无故地辞了职，何况参加工作没有多久呢事实上，孩儿预想到妈妈会责骂呢！”",傲德,{'傲德'}
14,"“哈哈”贵妃笑了：“赛伊也像她一样嫁过丈夫吗？”在场的每个人都格格地笑了。羞得赛伊满脸通红，着急地大声道：
“嗳！贵妃怎么这样说呀，我说的是古话呀，又不是我自己的话！”
“那你怎么知道古话说的对呢？如果我们没经历过，哪儿会知道古话对不对呢？”在场的人又都哈哈大笑起来。",“那你怎么知道古话说的对呢？如果我们没经历过，哪儿会知道古话对不对呢？”,{'贵妃'}
15,"“且慢，达岸！”帕洛伊怕事情闹大，便急忙插话道：“这不是傲德的错，是妈自己想要新车，达岸别凭空怪罪弟弟。”“我谁也不怪罪。”达岸答道。根本不朝帕洛伊这边望一眼。“单是妈妈，一年四季也不见上哪儿去，要真买新车来，妈妈根本用不上它，不久新车就会变成旧车。咱每个人也都是大人了，谁想得到合意的东西使用，也该自个儿找一找，不能象公司里某些人坐着享福，而别的人忙得团团转。在这个家里，我看能舒舒服服享福的，只有妈妈一人。”
“岸哥指的是傲德吧？”傲德用一种使帕洛伊颇为不安的声调说。",“单是妈妈，一年四季也不见上哪儿去，要真买新车来，妈妈根本用不上它，不久新车就会变成旧车。咱每个人也都是大人了，谁想得到合意的东西使用，也该自个儿找一找，不能象公司里某些人坐着享福，而别的人忙得团团转。在这个家里，我看能舒舒服服享福的，只有妈妈一人。”,"{'岸哥', '达岸'}"
16,"“姑妈” 曹伊喊了一声。
“嗯？”赛伊应声答道，“曹伊说啥？”
“早上侄女在拉玛房前遇到昆赛茹，她叫我来问您：盒子的事，姑妈怎么讲？”
“噢！”赛伊叹了口气，一边拍了一下放在地板上迭好的衣服，好像这样可以帮助她消一口气似的。
“去告诉昆赛茹吧，说我不是富翁，买不起标价二十到三十仓的盒子，像我这样的人哪儿用得起这种金盒子！”",“去告诉昆赛茹吧，说我不是富翁，买不起标价二十到三十仓的盒子，像我这样的人哪儿用得起这种金盒子！”,{'赛伊'}
17,"在出发的前一天，帕姆来访。帕洛伊打趣道：
“坤銮带外甥儿去南方，请注意别带我儿去放荡，不然的话，我可真会气死。”
“帕洛伊，你这人哟，怎么把哥哥看成启德那样的人啦？”帕姆笑道。
“唉，我说的是真话呀！”帕洛伊说。“坤銮可有启德的什么消息没有？他早就没影子了，大姐姐死时，他就没有来。”",“坤銮带外甥儿去南方，请注意别带我儿去放荡，不然的话，我可真会气死。”,{'帕洛伊'}
18,"过了宫门，曹伊就叫快点回去，说天一黑就要添麻烦，因为没有拿证明。
帕洛伊疑惑：“什么证明啊？”
“噢！半夜里在宫中行走要持火把，以证明你是官中人，你要记住，摸黑儿走就会出纰漏！”
帕洛伊仍不理解。",“噢！半夜里在宫中行走要持火把，以证明你是官中人，你要记住，摸黑儿走就会出纰漏！”,{'曹伊'}
19,"佘威有一天说：
“我看昆岸一个人劳累，便禁不住可怜。”
佘威总称达岸为“昆”，以表示他对达岸的尊敬。事实上，他虽是达岸的妹夫，但他较年长而且是达岸的上级与朋友，照习惯是完全不用称昆岸的。
“为什么呀，佘威？”帕洛伊老老实实地问。她实在不晓得达．岸为什么那么劳累，以致佘威要可怜他。
“他在部里工作的态度是值得赞扬的。不论工作多么繁重，他总全力投身进去，从不推脱、躲避。部里的工作做完，又得照顾家里的事务。”
“家里的什么事务？不见有什么事务啊！”帕洛伊摸不着头脑地问。",“他在部里工作的态度是值得赞扬的。不论工作多么繁重，他总全力投身进去，从不推脱、躲避。部里的工作做完，又得照顾家里的事务。”,{'佘威'}
20,"帕洛伊靠近妈妈，悄悄说：“妈妈，你真要走吗？”
妈妈深深叹了口气，把帕洛伊抱得紧紧的，耳语般地答道：“先睡吧，好孩子！”停了一会儿又说道：“帕洛伊要记住：妈妈是最爱帕洛伊的。以后如果妈妈做了什么也都希望你知道，妈妈都是为了你好才做的，你不要往别处想。”",“帕洛伊要记住：妈妈是最爱帕洛伊的。以后如果妈妈做了什么也都希望你知道，妈妈都是为了你好才做的，你不要往别处想。”,{'妈妈'}
21,"关于欧洲爆发战争的消息，是达岸告诉帕洛伊的。那是好久以前的一天早晨，在吃早饭时，达岸遇见了帕洛伊，神情严肃地对她说：
“妈妈，欧洲又打仗了！”
“啊！”帕洛伊猛吃一惊。“谁在打呢，达岸？上次的战争好像才结束不久哇！”
“一方是德国，一方是英、法。”
“跟上次一样。”帕洛伊一边说着一边坐下低头盛饭。过了一会儿，说：
“上次，德国已败了，这次，怎么又来打呢！达岸，你说，这次谁将胜呢？”",“一方是德国，一方是英、法。”,{'达岸'}
22,"“坐在我身边来！”贵妃示意帕洛伊：“来切姜。拿这把钝一点的刀去，小心把手切着了！”接着便给帕洛伊两三块姜头和一把小刀。帕洛伊记起妈妈临走时的嘱咐，立即照着去做。过了一会儿，贵妃拿起好几片切好的姜让帕洛伊看，问：“好看不？”
“好看。”
“指给我看，哪片好看，拿出来放在盘子里，喜欢哪片就拿哪片。”",“指给我看，哪片好看，拿出来放在盘子里，喜欢哪片就拿哪片。”,{'贵妃'}
23,“哎呀，我的天哪！你真是没痛没苦的人哪！”帕洛伊埋怨说。“不知道国家将会怎么样，难道你就一点也不忧心吗？”“即使忧心，不也就如此吗，可爱的帕洛伊呀！”帕姆快活地说，“如果我忧愁，也保卫不了什么！要来的总归要来，我们去挡，去拦，也无济于事。事实是：战争是可怕的，特别是现代战争比以前更残酷。但有什么法子，我们反正已经老了，你什么都见过了，什么福都享过了，什么苦也见过了，也该知足了。即使今天不死，明天也要死；慢一点死或早一点死，总归要死，我们何惧之有呢！”“你说的虽是事实，但我止不住想：我还是怕死！真不知道这是为什么！说真的，如果真的乒乒砰砰地打起来，我怎么办呢？你不要丢下我不管哪！”,“你说的虽是事实，但我止不住想：我还是怕死！真不知道这是为什么！说真的，如果真的乒乒砰砰地打起来，我怎么办呢？你不要丢下我不管哪！”,{'帕洛伊'}
24,"“帕洛伊！”妈妈也喊了一声，便紧紧地抱住帕洛伊的身子，亲了又亲：“帕洛伊，看，你长大了，妈几乎不记得了！你好大力气呀，一下子都要坐断妈妈的腿了！”说着又亲起来，笑得眼泪都流出来了。赛伊在一旁笑容可掬地看着这母女俩。“妈妈什么时候到的？”
“刚到一小会儿，还没来得及洗洗擦擦。是从北柳府乘船来的，一下船就来了。帕洛伊过得怎么样？好不好？生过病没有？想妈妈吗？”
“唉！都想死了，妈为什么去这么久呀？”",“妈妈什么时候到的？”,{'帕洛伊'}
25,"一天，帕洛伊正在跟布拉俳聊天，达岸也参加进来，并间布拉俳：
“布拉俳，别人说最近你丈夫发了财是不是？'
“徘什么都不知道。”
“噢，你们是夫妻怎么不知道？”
“他的买卖，他从来没有给我漏过一个字！”布拉俳说。“不过，他倒间过我，妈妈有些什么买卖，都在哪儿，当我说不知道也不关心时，他就骂我不象个大人样！以后穷困时都不知怎么一回事所以，我恨透了！”
“那就算啦！”达岸说。“哥哥随便间问。因为有人说佘威跟日本人做买卖发了大财，怪不得他跟日本人那样亲密！”说毕，便扬长而去。",“徘什么都不知道。”,"{'布拉俳', '徘'}"
26,"“帕洛伊！”妈妈也喊了一声，便紧紧地抱住帕洛伊的身子，亲了又亲：“帕洛伊，看，你长大了，妈几乎不记得了！你好大力气呀，一下子都要坐断妈妈的腿了！”说着又亲起来，笑得眼泪都流出来了。赛伊在一旁笑容可掬地看着这母女俩。“妈妈什么时候到的？”
“刚到一小会儿，还没来得及洗洗擦擦。是从北柳府乘船来的，一下船就来了。帕洛伊过得怎么样？好不好？生过病没有？想妈妈吗？”
“唉！都想死了，妈为什么去这么久呀？”",“刚到一小会儿，还没来得及洗洗擦擦。是从北柳府乘船来的，一下船就来了。帕洛伊过得怎么样？好不好？生过病没有？想妈妈吗？”,"{'妈妈', '妈'}"
27,"一天，帕洛伊正在跟布拉俳聊天，达岸也参加进来，并间布拉俳：
“布拉俳，别人说最近你丈夫发了财是不是？'
“徘什么都不知道。”
“噢，你们是夫妻怎么不知道？”
“他的买卖，他从来没有给我漏过一个字！”布拉俳说。“不过，他倒间过我，妈妈有些什么买卖，都在哪儿，当我说不知道也不关心时，他就骂我不象个大人样！以后穷困时都不知怎么一回事I所以，我恨透了！”
“那就算啦！”达岸说。“哥哥随便间问。因为有人说佘威跟日本人做买卖发了大财，怪不得他跟日本人那样亲密！”说毕，便扬长而去。”",“噢，你们是夫妻怎么不知道？”,{'达岸'}
28,"“帕洛伊！”妈妈也喊了一声，便紧紧地抱住帕洛伊的身子，亲了又亲：“帕洛伊，看，你长大了，妈几乎不记得了！你好大力气呀，一下子都要坐断妈妈的腿了！”说着又亲起来，笑得眼泪都流出来了。赛伊在一旁笑容可掬地看着这母女俩。“妈妈什么时候到的？”
“刚到一小会儿，还没来得及洗洗擦擦。是从北柳府乘船来的，一下船就来了。帕洛伊过得怎么样？好不好？生过病没有？想妈妈吗？”
“唉！都想死了，妈为什么去这么久呀？”",“唉！都想死了，妈为什么去这么久呀？”,{'帕洛伊'}
29,"布拉俳一点不着急，戴着各式各样的帽子照常来来去去，看样子，那些帽子都是特意挑选的时髦款式，而且一顶一个样，顶顶不同。
一天，帕洛伊问女儿：
“你整天戴帽子，不觉得烦吗？'
“烦什么啊，他们都说徘的面孔适合戴帽子，戴上好看！妈妈什么时候也试着戴戴看，我有好多顶，拣一顶给妈妈戴戴看吧！”“不要，不要！“帕洛伊喊起来。“你疯了，死丫头！你别让妈跟你一样疯吧！“
“妈妈也真是，”布拉俳快活地笑着说，“真没文化，小心点，哪一天警察抓你走！”",“烦什么啊，他们都说徘的面孔适合戴帽子，戴上好看！妈妈什么时候也试着戴戴看，我有好多顶，拣一顶给妈妈戴戴看吧！”,"{'布拉俳', '徘'}"
30,"“戚姆是什么人？”赛伊一边问一边察看着蔡姆的面部表情。帕洛伊一听到妈妈讲到别人，也就注意起来。
“他是我的远房亲戚。”妈妈避开赛伊注视的目光。也许是由于幻觉，也许是由于窗户透过来的强烈光线，帕洛伊看到妈妈的面孔泛出了一层红晕。”",“他是我的远房亲戚。”,"{'蔡姆', '妈妈'}"
31,"下午，达岸回来了，帕洛伊高兴地告诉他傲德要回来的事，达岸听了当然也很高兴，便说：,
“妈妈高兴，我也同样高兴。跟弟弟分别不少日子了，我也时常想念他。”
“岸还没有忘记你跟妈说过的事吧？”帕洛伊问。“什么事，妈妈？”
“噢！就是你说的想让他回家来工作的事。”
“哦！这事呀，”达岸沉思地说。“他回来后我再跟他提提看，如果妈妈帮助讲讲，也可能使他决心留下来不回去。",“什么事，妈妈？”,"{'岸', '达岸'}"
32,"“我还以为怎么啦，什么事那么害羞？”赛伊不相信自己耳朵似地问。
匹特默默无语，不愿回答。但瞧见赛伊在那儿等着答复，帕洛伊在那儿抽泣，匹特也伤心地哭了起来，用衣服蒙住脸哭着说：
“她怀孕了呀！”
赛伊怔怔地一时说不上话来。过了一会儿，醒了似的轻轻地问道：
“跟谁怀的孕？是不是戚姆那家伙？”
“是呀，就是他呀！”",“是呀，就是他呀！”,{'匹特'}
33,"帕洛伊答应帮助佘威，减轻了布拉俳的负担，布拉俳松了口气，满意了，和达岸谈了些别的话就告辞而去。
布拉俳走后，达岸仍旧坐着不动，接连叹了两三口气。忧心忡仲地往外望了望，悄悄说：
“妈，你看布拉俳可真幸福？”
“妈也猜不透！但也不见她有什么痛苦！.'
“开始，我以为她幸福，但现在我失去信心了。或者是我自己有所改变的缘故！”
“人的心情有所改变是自然的。”帕洛伊安慰儿子：“你不要为此过于忧虑，布拉俳己是大人，不是孩子了。”",“妈，你看布拉俳可真幸福？”,{'达岸'}
34,"“匹特来帮助赶蚊子，放蚊帐，同时乘机向帕洛伊谈起她妈妈：“昆帕洛伊，别那么伤心！”匹特开始叙述道，“你妈不打紧的，怀孕是普通的事。并不会太吃苦，何况你妈并不老，生孩子不妨事。你想一想，你妈一个女人家孤身一人住在外府，怎么能生活下去呀！总得找个靠山。”
“那个戚姆是个什么样的人呢，匹特？”",“那个戚姆是个什么样的人呢，匹特？”,"{'昆帕洛伊', '帕洛伊'}"
35,"帕洛伊答应帮助佘威，减轻了布拉俳的负担，布拉俳松了口气，满意了，和达岸谈了些别的话就告辞而去。
布拉俳走后，达岸仍旧坐着不动，接连叹了两三口气。忧心忡仲地往外望了望，悄悄说：
“妈，你看布拉俳可真幸福？”
“妈也猜不透！但也不见她有什么痛苦！.'
“开始，我以为她幸福但现在我失去信心了。或者是我自己有所改变的缘故！”
“人的心情有所改变是自然的。”帕洛伊安慰儿子：“你不要为此过于忧虑，布拉俳己是大人，不是孩子了。”",“妈也猜不透！但也不见她有什么痛苦！.',{'帕洛伊'}
36,"“曹伊一瞥见讷昂便立即大声问道：“讷昂哥哥，你说小花生了小狗惠子，在哪儿呀？”
“生过的。但妈妈全送了人，汪汪叫得烦死人！”“嘿！你怎么不留下一只让我看看呀！”
“我哪儿知道你要看呀！”随后指着曹伊抱的狗说：“嘿！怎么能抱着玩呢，脏死人了”",“生过的。但妈妈全送了人，汪汪叫得烦死人！”,"{'讷昂', '讷昂哥哥'}"
37,"达岸把头伏在帕洛伊膝上，并不仰起脸来轻轻地说：“我是不信发的誓竟能成谶语的。但我怀疑，也没信心，我自己是做错了呢，还是做对了。这种怀疑使我十分痛苦。有时,听人谈起国家的现状就使我更加痛心，如凿牙穿腮一样。”“岸，岸，”帕洛伊轻轻地呼喊，“你别谈这些事了，不要担忧，不要想得过多，妈妈时常为你祷告，为你祝福l没有什么祝福比发自父母内心的祝福更灵验有效了。妈知道你是真诚的，只有好意。你是不会有什么的，放心吧！”
达岸跪在帕洛伊膝前，满面泪痕，以一种带哭的腔调说道：“祝福孩儿吧，妈妈，更多些地祝福吧l岸除了妈妈的祝福别无所求。”",“你别谈这些事了，不要担忧，不要想得过多，妈妈时常为你祷告，为你祝福l没有什么祝福比发自父母内心的祝福更灵验有效了。妈知道你是真诚的，只有好意。你是不会有什么的，放心吧！”,{'帕洛伊'}
38,"曹伊一瞥见讷昂便立即大声问道：“讷昂哥哥，你说小花生了小狗惠子，在哪儿呀？”
“生过的。但妈妈全送了人，汪汪叫得烦死人！”“嘿！你怎么不留下一只让我看看呀！”
“我哪儿知道你要看呀！”随后指着曹伊抱的狗说：“嘿！怎么能抱着玩呢，脏死人了”",“嘿！你怎么不留下一只让我看看呀！”,{'曹伊'}
39,"天亮了。帕姆一早就赶来探望。一见帕洛伊，帕姆就喊：
“看到没有，帕洛伊！我早就说过了嘛！”
“看到什么呀，坤銮？如果象昨天晚上那样天关看，我肯定活不长！再也不想看，再也不想遇见！”
“不是！”帕姆告诉她说：“我的意思是指过去普遍说的西洋人一定失败的事怎样啦。这次看到了吧！西洋人开始反击了！”",“看到什么呀，坤銮？如果象昨天晚上那样天关看，我肯定活不长！再也不想看，再也不想遇见！”,{'帕洛伊'}
40,"“曹伊一瞥见讷昂便立即大声问道：“讷昂哥哥，你说小花生了小狗惠子，在哪儿呀？”
“生过的。但妈妈全送了人，汪汪叫得烦死人！”“嘿！你怎么不留下一只让我看看呀！”
“我哪儿知道你要看呀！”随后指着曹伊抱的狗说：“嘿！怎么能抱着玩呢，脏死人了”",“我哪儿知道你要看呀！”,"{'讷昂', '讷昂哥哥'}"
41,"在连续爆炸之后，帕洛伊终于耐不住，立即抱上早已吓哭了的孙子大步地走了出去，一边喊着：
“绶姆载，爱德……快！翠伊帮助拿一下放在门口的箱子，一块儿下去吧！”
刚刚在防空洞中坐定，帕洛伊环顾四周，没见布拉俳和佘威，也不见达岸的影子，于是问：
“绶姆载，达岸上哪儿去了？”
“他到外面办事去了，说要回来吃中饭。”说毕，担心得就像要哭的样子。”",“他到外面办事去了，说要回来吃中饭。”,{'绶姆载'}
42,"“那天，在讷昂向曹伊吹嘘自己就要毕业去当军官时，曹伊问：“讷昂哥哥，如果你去当了军官，你将先做什么？”
“去训练士兵呀，这还用问！”
“不是，我是向你自己先要做什么！”
“噢！真难回答！不知道……可能先要成家？”",“去训练士兵呀，这还用问！”,"{'讷昂', '讷昂哥哥'}"
43,"“你比我还强得多，帕洛伊。”曹伊劝慰道。“一个家屋毁了，还有一个家屋可住。象我，如果有谁来把我从宫中赶走，我连去的地方都没有。”
“我家里还有地方，你要什么时候去住，都随便，我说的是真的，曹伊！”
“好吧，帕洛伊。我知道，如果我去跟你一块儿住，你也会象我今天一样高兴。但去住了，不规定回来的时间，我就不干了。我们从小相亲相爱，我就想保留这种纯洁的关系直到老死。现在真要长久住在一起，碰上我这样一个老糊涂，你就会讨厌，或者憎恶我了！”",“好吧，帕洛伊。我知道，如果我去跟你一块儿住，你也会象我今天一样高兴。但去住了，不规定回来的时间，我就不干了。我们从小相亲相爱，我就想保留这种纯洁的关系直到老死。现在真要长久住在一起，碰上我这样一个老糊涂，你就会讨厌，或者憎恶我了！,{'曹伊'}
44,"“那天，在讷昂向曹伊吹嘘自己就要毕业去当军官时，曹伊问：“讷昂哥哥，如果你去当了军官，你将先做什么？”
“去训练士兵呀，这还用问！”
“不是，我是向你自己先要做什么！”
“噢！真难回答！不知道……可能先要成家？”",“噢！真难回答！不知道……可能先要成家？”,"{'讷昂', '讷昂哥哥'}"
45,"一天，达岸问：
‘妈妈，可收藏得有一千株一张的纸币？”
“啊，妈妈似乎有一张两张放在箱子里，要先找找看。达岸问这干吗？”
“政府命令收一千株一张的纸币……”达岸的话还没说完，帕洛伊就喊了起来：
“噢！为什么要这样查封财产啊？”
“不是，不是！”达岸解释说，“他们临时收回去用，以后还要归还。换句话说，一千株的票子能够也容易买到大量东西，所以物价每天上涨。”",“啊，妈妈似乎有一张两张放在箱子里，要先找找看。达岸问这干吗？”,{'帕洛伊'}
46,"一次，曹伊直截了当地问．“帕洛伊，我真心间你，最近你怎么啦？”
“没什么！”帕洛伊含糊其词地回了一句。
“没什么？那么，最近你有些神思恍惚，喜欢一个人坐在那儿发呆，不跟人讲话，又是因为什么呀？”曹伊步步紧逼地问。",“没什么？那么，最近你有些神思恍惚，喜欢一个人坐在那儿发呆，不跟人讲话，又是因为什么呀？”,{'曹伊'}
